label,id
1Kilo,0
3030,1
4i20,2
5 a Seco,3
7th Sun,4
8th Sin,5
A Banca 021,6
A.D.Z,7
ALMAR,8
ANAVITÓRIA,9
Ace Ventura,10
Alfredo Javaloyes,11
Allvix,12
Almanac,13
Alok & Liu,14
"Alok, Vinne",15
Alpha Portal,16
Altamira,17
Altruism,18
Amanda Coronha,19
Ana Gabriela,20
Ana Vilela,21
André Sarate,22
Animato,23
Antdot,24
Aretuza Lovi,25
Ari,26
Atitude 67,27
Audiomatic,28
Aura Vortex,29
Babalos,30
Banda do Mar,31
Barja,32
Basscannon,33
Belik Boom,34
Benzoo,35
Berg,36
Bhaskar,37
Big Up,38
Blackout,39
Blastoyz,40
Bom Gosto,41
Bonde R300,42
Bozito,43
Brazza Squad,44
Breaking Beattz,45
Breno Gontijo,46
Breno Miranda,47
Breno Rocha,48
Bruninho & Davi,49
Bruno Be,50
Bruno Furlan,51
Bruno Gadiol,52
Bruno Martini,53
Bryan Behr,54
Burn In Noise,55
CEVITH,56
CIC,57
Cacife Clandestino,58
Capital Monkey,59
Captain Hook,60
Carol & Vitoria,61
Carol Biazin,62
Carola,63
Cat Dealers,64
Chapeleiro,65
Chemical Disco,66
Chemical Surf,67
Chris Leão,68
Clarice Falcão,69
Class A,70
Clau,71
Claudinho Brasil,72
Columbra,73
Cool Keedz,74
Crocoloko,75
Cynthia Luz,76
D-Groov,77
DANNE,78
DAY LIMNS,79
DUAL CHANNELS,80
DUX,81
Dalsin,82
Dang3r,83
Dani Russo,84
Dash Groove,85
Dashdot,86
Davi Shamá,87
Day Din,88
Days of Junia,89
Dazzo,90
Dekel,91
Delano,92
Devochka,93
Diablo Project,94
Diego & Victor Hugo,95
Dilsinho,96
Dirty Prydz,97
Diskover,98
Dj Batata,99
Djapatox,100
Dobré & Sepp Kennedy,101
Doktor Froid,102
Dre Guazzelli,103
Dreicon,104
Dropack,105
Dubdogz,106
Durs,107
DustMix,108
Dzp,109
Electrixx,110
Elekfantz,111
Emiri Miyamoto,112
Evokings,113
FTampa,114
Fabio Fusco,115
Família Madá,116
Far Away Planes,117
Felguk,118
Felipe Araújo,119
Ferrugem,120
Filipe Toca,121
FlexB,122
Flux Zone,123
FractaLL,124
Freakaholics,125
Freedom Fighters,126
French Girls,127
Froid,128
Future Class,129
GHOSTT,130
GORDÃO DO PC,131
GUPE,132
Gaab,133
Gabe,134
Gabily,135
Gabriel Boni,136
Gabriel Elias,137
Gabriel Gonti,138
Georgia Castro,139
Ghost Rider,140
Gigantes do Samba,141
Gloria Groove,142
Gonzi,143
Gorovich,144
Gottinari,145
Groove Delight,146
Groundbass,147
Grupo Clareou,148
Gustavo Mota,149
HOT-Q,150
Haikaiss,151
Hatikwa,152
Headroom (SA),153
Henrique & Diego,154
Henrique Camacho,155
Hi Profile,156
Hideki Togi,157
Hot Bullet,158
Hotelo,159
Hyperflow,160
IZA,161
Ikuko Kawai,162
Inimigos Da HP,163
Interactive Noise,164
Invasion,165
Isa Guerra,166
Isabella Taviani,167
Iwao Furusawa,168
Jacob,169
Jade Baraldo,170
Jan Horák,171
Jeito Moleque,172
Jetlag Music,173
Jilax,174
Joe Kinni,175
Jopin,176
Jorge Vercillo,177
Joy Corporation,178
João Gustavo e Murilo,179
João Mar,180
Junior Lord,181
JØRD,182
Jão,183
KRIEGER (BR),184
KVSH,185
Kalozy,186
Katsuhisa Hattori,187
Kentaro Haneda,188
Kika Boom,189
Klamboo,190
Klark,191
Kleysky,192
Klopfgeister,193
Konaefiz,194
Konai,195
Krama,196
Kyllow,197
LIVIT,198
LOthief,199
LUDMILLA,200
Laces,201
Lado de Cá,202
Lagum,203
Lari Hi,204
Leoni,205
Les Mammographes,206
Lexa,207
Lia Clark,208
Liu,209
Luana Berti,210
Lucas Borchardt,211
Lucas e Orelha,212
Luccas Carlos,213
Lucce,214
Luiz Lins,215
Luiza Possi,216
Luísa Sonza,217
MAR ABERTO,218
MC Arraia,219
MC Bin Laden,220
MC Braz,221
MC Dede,222
MC Fioti,223
MC G15,224
MC Guime,225
MC Gury,226
MC Gustta,227
MC Hollywood,228
MC Josh,229
MC Kapela,230
MC Kekel,231
MC Kevinho,232
MC L da Vinte,233
MC Menor Mr,234
MC Menor da VG,235
MC Mirella,236
MC Neguinho do Kaxeta,237
MC Rafa 22,238
MC Rick,239
MC Rodolfinho,240
MC Saci,241
MC's Jhowzinho & Kadinho,242
MOGUAI,243
Major7,244
Make U Sweat,245
Malifoo,246
Malik Mustache,247
Malía,248
Marcelo Jeneci,249
Maria Gadú,250
Mariana Nolasco,251
Mariko Senju,252
Marina Diniz,253
Mateus Carrilho,254
Mc 2k,255
Mc 7 Belo,256
Mc Brisola,257
Mc Don Juan,258
Mc Gw,259
Mc IG,260
Mc Jhey,261
Mc João,262
Mc Kaio,263
Mc Kelvinho,264
Mc Kevin,265
Mc Kitinho,266
Mc Leléto,267
Mc Livinho,268
Mc Magrinho,269
Mc Neguinho do ITR,270
Mc PP da VS,271
Mc Pedrinho,272
Mc Pikachu,273
Mc Th,274
Mc's Zaac & Jerry Smith,275
Melim,276
Memento Mori,277
Menumas,278
Modus,279
Monteleone,280
Morten Granau,281
Mumuzinho,282
Nao Matsushita,283
Naturalize,284
Nego do Borel,285
Niara,286
Nicolau Marinho,287
Nikelodeon,288
Nina F.,289
Nina Fernandes,290
Nossa Toca,291
OUTROEU,292
Officer Flossie,293
Omiki,294
Onze:20,295
Os Cretinos,296
Out of Orbit,297
PEDRO SAMPAIO,298
Pabllo Vittar,299
Paula Toller,300
Pedro Salomão,301
Pelé MilFlows,302
Perera DJ,303
Phaxe,304
Pic Schmitz,305
Pixote,306
Pondora,307
Pontifexx,308
Pribe,309
Protonica,310
Querox,311
RADIØMATIK,312
Rael,313
Ralk,314
Ranji,315
Raz,316
Reality Test,317
Reezer,318
Rexalted,319
Richard Bivens & Foreign Press,320
Ritmo,321
Rivas (BR),322
Roberta Campos,323
Rodrigo Alarcon,324
Royale BR,325
Rozzen,326
Rubel,327
Röde,328
Sagaz,329
Saivor,330
Sajanka,331
Samantha Machado,332
Sandy,333
Seiko Sumi,334
Selva,335
Seu Cuca,336
Sevenn,337
Shanti People,338
Sighter,339
Simão,340
Smokin' Dave and The Premo Dopes,341
SoFly,342
Sonic Massala,343
Soundpusher,344
Special M,345
Sterium,346
Symphonix,347
Synergetic Emotion,348
Synthatic,349
TIAGO IORC,350
Takashi Kako,351
Takashi Obara,352
Taro Hakase,353
Tati Zaqui,354
Technical Hitch,355
Thales Dumbra,356
The Christmas Cards,357
The Darby and Joan Club,358
The Fish House,359
The Jones Thing,360
The Otherz,361
The Sutras,362
Thiago Brava,363
Tiago Bigode,364
Tiê,365
Toshiaki Matsumoto,366
Tritom,367
Turma do Pagode,368
Two Birds,369
Tálita,370
Upgrade,371
VINNE,372
Valesca Popozuda,373
Vandeta,374
Vegas (Brazil),375
Vermont (BR),376
Verso de Nós,377
Versos Que Compomos Na Estrada,378
Vibragun,379
Vicka,380
Victor Lou,381
Vini Vici,382
Vintage Culture,383
Visage Music,384
Vitinho,385
Vitor Kley,386
Vokker,387
W.A.D,388
WC no Beat,389
WHITENO1SE,390
WOAK,391
Wesley Safadão,392
West Of Rome,393
William Ribeiro,394
Woo2Tech,395
Yap,396
Yoshihiro Kondo,397
Yukie Nishimura,398
ZAAC,399
Zabot,400
Zeeba,401
Zerb,402
Zucchi,403
Zuffo,404
Zyce,405
Zélia Duncan,406
illusionize,407
Öwnboss,408
シネマサウンズ・オーケストラ,409
加古隆クァルテット,410
平井真美子,411
